Infinitive,Präsens_ich,Präsens_du,"Präsens_er, sie, es",Präteritum_ich,Partizip II,Konjunktiv II_ich,Imperativ Singular,Imperativ Plural,Hilfsverb
bammeln,bammele,bammelst,bammelt,bammelte,gebammelt,bammelte,bammel,bammelt,haben
einkellern,kellere ein,kellerst ein,kellert ein,kellerte ein,eingekellert,kellerte ein,keller ein,kellert ein,haben
älteln,ältele,ältelst,ältelt,ältelte,geältelt,ältelte,ältel,ältelt,sein
altertümeln,altertümele,altertümelst,altertümelt,altertümelte,gealtertümelt,altertümelte,altertümel,altertümelt,haben
alternieren,alterniere,alternierst,alterniert,alternierte,alterniert,alternierte,alternier,alterniert,haben
alliterieren,alliteriere,alliterierst,alliteriert,alliterierte,alliteriert,alliterierte,alliterier,alliteriert,haben
archaisieren,archaisiere,archaisierst,archaisiert,archaisierte,archaisiert,archaisierte,archaisier,archaisiert,haben
altmachen,mache alt,machst alt,macht alt,machte alt,altgemacht,machte alt,mach alt,macht alt,haben
apern,—,—,apert,aperte,geapert,aperte,—,—,haben
arten,arte,artest,artet,artete,geartet,artete,art,artet,haben
spedieren,spediere,spedierst,spediert,spedierte,spediert,spedierte,spedier,spediert,haben
asten,aste,astest,astet,astete,geastet,astete,ast,astet,haben
äthern,äthere,ätherst,äthert,ätherte,geäthert,ätherte,äther,äthert,haben
ätherisieren,ätherisiere,ätherisierst,ätherisiert,ätherisierte,ätherisiert,ätherisierte,ätherisier,ätherisiert,haben
anästhetisieren,anästhetisiere,anästhetisierst,anästhetisiert,anästhetisierte,anästhetisiert,anästhetisierte,anästhetisiere,anästhetisiert,haben
chloroformieren,chloroformiere,chloroformierst,chloroformiert,chloroformierte,chloroformiert,chloroformierte,chloroformier,chloroformiert,haben
armmachen,mache arm,machst arm,macht arm,machte arm,armgemacht,machte arm,mach arm,macht arm,haben
äugen,äuge,äugst,äugt,äugte,geäugt,äugte,äug,äugt,haben
äugeln,äugele,äugelst,äugelt,äugelte,geäugelt,äugelte,äugel,äugelt,haben
okulieren,okuliere,okulierst,okuliert,okulierte,okuliert,okulierte,okulier,okuliert,haben
verdämmern,verdämmere,verdämmerst,verdämmert,verdämmerte,verdämmert,verdämmerte,verdämmer,verdämmert,haben
hinwirken,wirke hin,wirkst hin,wirkt hin,wirkte hin,hingewirkt,wirkte hin,wirk hin,wirkt hin,haben
blinkern,blinkere,blinkerst,blinkert,blinkerte,geblinkert,blinkerte,blinker,blinkert,haben
plinkern,plinkern,plinkerst,plinkert,plinkerte,geplinkert,plinkerte,plinker,plinkert,haben
proportionieren,proportioniere,proportionierst,proportioniert,proportionierte,proportioniert,proportionierte,proportionier,proportioniert,haben
einreisen,reise ein,reist ein,reist ein,reiste ein,eingereist,reiste ein,reis ein,reist ein,sein
ausreisen,reise aus,reist aus,reist aus,reiste aus,ausgereist,reiste aus,reis aus,reist aus,sein
fortdauern,dauere fort,dauerst fort,dauert fort,dauerte fort,fortgedauert,dauerte fort,dauere fort,dauert fort,haben
zustehen,stehe zu,stehst zu,steht zu,stand zu,zugestanden,stünde zu,stehe zu,steht zu,haben
zuweisen,weise zu,weist zu,weist zu,wies zu,zugewiesen,wiese zu,weis zu,weist zu,haben
vorliegen,—,—,liegt vor,lag vor,vorgelegen,läge vor,—,—,haben
betonnen,betonne,betonnst,betonnt,betonnte,betonnt,betonnte,betonn,betonnt,haben
betasten,betaste,betastest,betastet,betastete,betastet,betastete,betast,betastet,haben
antasten,taste an,tastest an,tastet an,tastete an,angetastet,tastete an,tast an,tastet an,haben
entideologisieren,entideologisiere,entideologisierst,entideologisiert,entideologisierte,entideologisiert,entideologisierte,entideologisier,entideologisiert,haben
entindividualisieren,entindividualisiere,entindividualisierst,entindividualisiert,entindividualisierte,entindividualisiert,entindividualisierte,entindividualisier,entindividualisiert,haben
entkalken,entkalke,entkalkst,entkalkt,entkalkte,entkalkt,entkalkte,entkalk,entkalkt,haben
entkoffeinieren,entkoffeiniere,entkoffeinierst,entkoffeiniert,entkoffeinierte,entkoffeiniert,entkoffeinierte,entkoffeinier,entkoffeiniert,haben
entkolonialisieren,entkolonialisiere,entkolonialisierst,entkolonialisiert,entkolonialisierte,entkolonialisiert,entkolonialisierte,entkolonialisier,entkolonialisiert,haben
entkolonisieren,entkolonisiere,entkolonisierst,entkolonisiert,entkolonisierte,entkolonisiert,entkolonisierte,entkolonisier,entkolonisiert,haben
dekolonisieren,dekolonisiere,dekolonisierst,dekolonisiert,dekolonisierte,dekolonisiert,dekolonisierte,dekolonisier,dekolonisiert,haben
angrabschen,grabsche an,grabscht an,grabscht an,grabschte an,angegrabscht,grabschte an,grabsch an,grabscht an,haben
begrabschen,begrabsche,begrabschst,begrabscht,begrabschte,begrabscht,begrabschte,begrabsch,begrabscht,haben
begrapschen,begrapsche,begrapschst,begrapscht,begrapschte,begrapscht,begrapschte,begrapsch,begrapscht,haben
befummeln,befummele,befummelst,befummelt,befummelte,befummelt,befummelte,befummel,befummelt,haben
betatschen,betatsche,betatschst,betatscht,betatschte,betatscht,betatschte,betatsch,betatscht,haben
beatmen,beatme,beatmest,beatmet,beatmete,beatmet,beatmete,beatme,beatmet,haben
befrachten,befrachte,befrachtest,befrachtet,befrachtete,befrachtet,befrachtete,befracht,befrachtet,haben
entkriminalisieren,entkriminalisiere,entkriminalisierst,entkriminalisiert,entkriminalisierte,entkriminalisiert,entkriminalisierte,entkriminalisier,entkriminalisiert,haben
entlangblicken,blicke entlang,blickst entlang,blickt entlang,blickte entlang,entlanggeblickt,blickte entlang,blick entlang,blickt entlang,haben
entlangfahren,fahre entlang,fährst entlang,fährt entlang,fuhr entlang,entlanggefahren,führe entlang,fahr entlang,fahrt entlang,sein
reproduzieren,reproduziere,reproduzierst,reproduziert,reproduzierte,reproduziert,reproduzierte,reproduzier,reproduziert,haben
überschlagen,überschlage,überschlägst,überschlägt,überschlug,überschlagen,überschlüge,überschlag,überschlagt,haben
entlangfliegen,fliege entlang,fliegst entlang,fliegt entlang,flog entlang,entlanggeflogen,flöge entlang,flieg entlang,fliegt entlang,sein
frachten,frachte,frachtest,frachtet,frachtete,gefrachtet,frachtete,fracht,frachtet,haben
begnaden,begnade,begnadest,begnadet,begnadete,begnadet,begnadete,begnad,begnadet,haben
berauschen,berausche,berauschst,berauscht,berauschte,berauscht,berauschte,berausch,berauscht,haben
sattsehen,sehe satt,siehst satt,sieht satt,sah satt,sattgesehen,sähe satt,sieh satt,seht satt,haben
benebeln,benebel,benebelst,benebelt,benebelte,benebelt,benebelte,benebel,benebelt,haben
gnaden,gnade,gnadest,gnadet,gnadete,gegnadet,gnadete,gnad,gnadet,haben
bewölken,—,—,bewölkt,bewölkte,bewölkt,bewölkte,—,—,haben
wölken,—,—,wölkt,wölkte,gewölkt,wölkte,—,—,haben
plattmachen,mache platt,machst platt,macht platt,machte platt,plattgemacht,machte platt,mach platt,macht platt,haben
liquidieren,liquidiere,liquidierst,liquidiert,liquidierte,liquidiert,liquidierte,liquidier,liquidiert,haben
totschlagen,schlage tot,schlägst tot,schlägt tot,schlug tot,totgeschlagen,schlüge tot,schlag tot,schlagt tot,haben
planieren,planiere,planierst,planiert,planierte,planiert,planierte,planier,planiert,haben
bezwecken,bezwecke,bezweckst,bezweckt,bezweckte,bezweckt,bezweckte,bezweck,bezweckt,haben
zwecken,zwecke,zweckst,zweckt,zweckte,gezweckt,zweckte,zweck,zweckt,haben
bewirtschaften,bewirtschafte,bewirtschaftest,bewirtschaftet,bewirtschaftete,bewirtschaftet,bewirtschaftete,bewirtschaft,bewirtschaftet,haben
wirtschaften,wirtschafte,wirtschaftest,wirtschaftet,wirtschaftete,gewirtschaftet,wirtschaftete,wirtschaft,wirtschaftet,haben
bezähmen,bezähme,bezähmst,bezähmt,bezähmte,bezähmt,bezähmte,bezähm,bezähmt,haben
bemänteln,bemäntele,bemäntelst,bemäntelt,bemäntelte,bemäntelt,bemäntelte,bemäntel,bemäntelt,haben
beeidigen,beeidige,beeidigst,beeidigt,beeidigte,beeidigt,beeidigte,beeidig,beeidigt,haben
beschenken,beschenke,beschenkst,beschenkt,beschenkte,beschenkt,beschenkte,beschenk,beschenkt,haben
beendigen,beendige,beendigst,beendigt,beendigte,beendigt,beendigte,beendig,beendigt,haben
beschwichtigen,beschwichtige,beschwichtigst,beschwichtigt,beschwichtigte,beschwichtigt,beschwichtigte,beschwichtig,beschwichtigt,haben
beschallen,beschalle,beschallst,beschallt,beschallte,beschallt,beschallte,beschall,beschallt,haben
beengen,beenge,beengst,beengt,beengte,beengt,beengte,beeng,beengt,haben
beschranken,beschranke,beschrankst,beschrankt,beschrankte,beschrankt,beschrankte,beschrank,beschrankt,haben
bespitzeln,bespitzele,bespitzelst,bespitzelt,bespitzelte,bespitzelt,bespitzelte,bespitzel,bespitzelt,haben
spitzeln,spitzele,spitzelst,spitzelt,spitzelte,gespitzelt,spitzelte,spitzel,spitzelt,haben
bepflastern,bepflastere,bepflasterst,bepflastert,bepflasterte,bepflastert,bepflasterte,bepflaster,bepflastert,haben
bekleben,beklebe,beklebst,beklebt,beklebte,beklebt,beklebte,bekleb,beklebt,haben
beharken,beharke,beharkst,beharkt,beharkte,beharkt,beharkte,behark,beharkt,haben
beschießen,beschieße,beschießt,beschießt,beschoss,beschossen,beschösse,beschieß,beschießt,haben
beschwatzen,beschwatze,beschwatzt,beschwatzt,beschwatzte,beschwatzt,beschwatzte,beschwatz,beschwatzt,haben
entmüllen,entmülle,entmüllst,entmüllt,entmüllte,entmüllt,entmüllte,entmüll,entmüllt,haben
bomben,bombe,bombst,bombt,bombte,gebombt,bombte,bomb,bombt,haben
teilhaben,habe teil,hast teil,hat teil,hatte teil,teilgehabt,hätte teil,hab teil,habt teil,haben
offenstehen,stehe offen,stehst offen,steht offen,stand offen,offengestanden,stünde offen,steh offen,steht offen,haben
betanken,betanke,betankst,betankt,betankte,betankt,betankte,betank,betankt,haben
begradigen,begradige,begradigst,begradigt,begradigte,begradigt,begradigte,begradig,begradigt,haben
bestürmen,bestürme,bestürmst,bestürmt,bestürmte,bestürmt,bestürmte,bestürm,bestürmt,haben
beklauen,beklaue,beklaust,beklaut,beklaute,beklaut,beklaute,beklau,beklaut,haben
ausräubern,räubere aus,räuberst aus,räubert aus,räuberte aus,ausgeräubert,räuberte aus,räuber aus,räubert aus,haben
bestehlen,bestehle,bestiehlst,bestiehlt,bestahl,bestohlen,bestähle,bestiehl,bestehlt,haben
veruntreuen,veruntreue,veruntreust,veruntreut,veruntreute,veruntreut,veruntreute,veruntreu,veruntreut,haben
leerräumen,räume leer,räumst leer,räumt leer,räumte leer,leergeräumt,räumte leer,räum leer,räumt leer,haben
besohlen,besohle,besohlst,besohlt,besohlte,besohlt,besohlte,besohl,besohlt,haben
sohlen,sohle,sohlst,sohlt,sohlte,gesohlt,sohlte,sohl,sohlt,haben
anschwindeln,schwindele an,schwindelst an,schwindelt an,schwindelte an,angeschwindelt,schwindelte an,schwindel an,schwindelt an,haben
befehligen,befehlige,befehligst,befehligt,befehligte,befehligt,befehligte,befehlig,befehligt,haben
revolutionieren,revolutioniere,revolutionierst,revolutioniert,revolutionierte,revolutioniert,revolutionierte,revolutionier,revolutioniert,haben
besolden,besolde,besoldest,besoldet,besoldete,besoldet,besoldete,besold,besoldet,haben
beschichten,beschichte,beschichtest,beschichtet,beschichtete,beschichtet,beschichtete,beschicht,beschichtet,haben
beseelen,beseele,beseelst,beseelt,beseelte,beseelt,beseelte,beseel,beseelt,haben
bespielen,bespiele,bespielst,bespielt,bespielte,bespielt,bespielte,bespiel,bespielt,haben
bestallen,bestalle,bestallst,bestallt,bestallte,bestallt,bestallte,bestall,bestallt,haben
bessemern,bessemere,bessemerst,bessemert,bessemerte,gebessemert,bessemerte,bessemer,bessemert,haben
hinknien,knie hin,kniest hin,kniet hin,kniete hin,hingekniet,kniete hin,knie hin,kniet hin,haben
besteuern,besteuere,besteuerst,besteuert,besteuerte,besteuert,besteuerte,besteuer,besteuert,haben
bestäuben,bestäube,bestäubst,bestäubt,bestäubte,bestäubt,bestäubte,bestäub,bestäubt,haben
befeuern,befeuere,befeuerst,befeuert,befeuerte,befeuert,befeuerte,befeuer,befeuert,haben
bespritzen,bespritze,bespritzt,bespritzt,bespritzte,bespritzt,bespritzte,bespritz,bespritzt,haben
besprühen,besprühe,besprühst,besprüht,besprühte,besprüht,besprühte,besprüh,besprüht,haben
bedampfen,bedampfe,bedampfst,bedampft,bedampfte,bedampft,bedampfte,bedampf,bedampft,haben
besprengen,besprenge,besprengst,besprengt,besprengte,besprengt,besprengte,bespreng,besprengt,haben
berieseln,beriesele,berieselst,berieselt,berieselte,berieselt,berieselte,beriesel,berieselt,haben
verpieseln,verpiesele,verpieselst,verpieselt,verpieselte,verpieselt,verpieselte,verpiesel,verpieselt,haben
besprenkeln,besprenkele,besprenkelst,besprenkelt,besprenkelte,besprenkelt,besprenkelte,besprenkel,besprenkelt,haben
abtrocknen,trockne ab,trocknest ab,trocknet ab,trocknete ab,abgetrocknet,trocknete ab,trockne ab,trocknet ab,haben
benässen,benässe,benässt,benässt,benässte,benässt,benässte,benäss,benässt,haben
bemessen,bemesse,bemisst,bemisst,bemaß,bemessen,bemäße,bemiss,bemesst,haben
bestürzen,bestürze,bestürzt,bestürzt,bestürzte,bestürzt,bestürzte,bestürz,bestürzt,haben
beurlauben,beurlaube,beurlaubst,beurlaubt,beurlaubte,beurlaubt,beurlaubte,beurlaub,beurlaubt,haben
beurkunden,beurkunde,beurkundest,beurkundet,beurkundete,beurkundet,beurkundete,beurkund,beurkundet,haben
urkunden,urkunde,urkundest,urkundet,urkundete,geurkundet,urkundete,urkund,urkundet,haben
benagen,benage,benagst,benagt,benagte,benagt,benagte,benag,benagt,haben
besamen,besame,besamst,besamt,besamte,besamt,besamte,besam,besamt,haben
beglotzen,beglotze,beglotzt,beglotzt,beglotzte,beglotzt,beglotzte,beglotz,beglotzt,haben
bemächtigen,bemächtige,bemächtigst,bemächtigt,bemächtigte,bemächtigt,bemächtigte,bemächtig,bemächtigt,haben
belobigen,belobige,belobigst,belobigt,belobigte,belobigt,belobigte,belobig,belobigt,haben
beloben,belobe,belobst,belobt,belobte,belobt,belobte,belob,belobt,haben
bekunden,bekunde,bekundest,bekundet,bekundete,bekundet,bekundete,bekund,bekundet,haben
bezeugen,bezeuge,bezeugst,bezeugt,bezeugte,bezeugt,bezeugte,bezeug,bezeugt,haben
ausparken,parke aus,parkst aus,parkt aus,parkte aus,ausgeparkt,parkte aus,park aus,parkt aus,haben
besserstellen,stelle besser,stellst besser,stellt besser,stellte besser,bessergestellt,stellte besser,stell besser,stellt besser,haben
privilegieren,privilegiere,privilegierst,privilegiert,privilegierte,privilegiert,privilegierte,privilegier,privilegiert,haben
zugestehen,gestehe zu,gestehst zu,gesteht zu,gestand zu,zugestanden,gestände zu,gesteh zu,gesteht zu,haben
bewandern,bewandere,bewanderst,bewandert,bewanderte,bewandert,bewanderte,bewander,bewandert,haben
bevollmächtigen,bevollmächtige,bevollmächtigst,bevollmächtigt,bevollmächtigte,bevollmächtigt,bevollmächtigte,bevollmächtig,bevollmächtigt,haben
belämmern,belämmere,belämmerst,belämmert,belämmerte,belämmert,belämmerte,belämmer,belämmert,haben
beköstigen,beköstige,beköstigst,beköstigt,beköstigte,beköstigt,beköstigte,beköstig,beköstigt,haben
balbieren,balbiere,balbierst,balbiert,balbierte,balbiert,balbierte,balbier,balbiert,haben
bekleckern,bekleckere,bekleckerst,bekleckert,bekleckerte,bekleckert,bekleckerte,beklecker,bekleckert,haben
beklecksen,bekleckse,bekleckst,bekleckst,bekleckste,bekleckst,bekleckste,beklecks,bekleckst,haben
beängstigen,beängstige,beängstigst,beängstigt,beängstigte,beängstigt,beängstigte,beängstig,beängstigt,haben
bedrucken,bedrucke,bedruckst,bedruckt,bedruckte,bedruckt,bedruckte,bedruck,bedruckt,haben
bekümmern,bekümmere,bekümmerst,bekümmert,bekümmerte,bekümmert,bekümmerte,bekümmer,bekümmert,haben
beerben,beerbe,beerbst,beerbt,beerbte,beerbt,beerbte,beerb,beerbt,haben
beheizen,beheize,beheizt,beheizt,beheizte,beheizt,beheizte,beheiz,beheizt,haben
bereisen,bereise,bereist,bereist,bereiste,bereist,bereiste,bereis,bereist,haben
beflaggen,beflagge,beflaggst,beflaggt,beflaggte,beflaggt,beflaggte,beflagg,beflaggt,haben
befehden,befehde,befehdest,befehdet,befehdete,befehdet,befehdete,befehd,befehdet,haben
befugen,befuge,befugst,befugt,befugte,befugt,befugte,befug,befugt,haben
beehren,beehre,beehrst,beehrt,beehrte,beehrt,beehrte,beehr,beehrt,haben
fabeln,fabele,fabelst,fabelt,fabelte,gefabelt,fabelte,fabel,fabelt,haben
bekränzen,bekränze,bekränzt,bekränzt,bekränzte,bekränzt,bekränzte,bekränz,bekränzt,haben
belorbeeren,belorbeere,belorbeerst,belorbeert,belorbeerte,belorbeert,belorbeerte,belorbeer,belorbeert,haben
betrauern,betrauere,betrauerst,betrauert,betrauerte,betrauert,betrauerte,betrauer,betrauert,haben
belachen,belache,belachst,belacht,belachte,belacht,belachte,belach,belacht,haben
bespannen,bespanne,bespannst,bespannt,bespannte,bespannt,bespannte,bespann,bespannt,haben
bemannen,bemanne,bemannst,bemannt,bemannte,bemannt,bemannte,bemann,bemannt,haben
befeinden,befeinde,befeindest,befeindet,befeindete,befeindet,befeindete,befeind,befeindet,haben
begütigen,begütige,begütigst,begütigt,begütigte,begütigt,begütigte,begütig,begütigt,haben
zureden,rede zu,redest zu,redet zu,redete zu,zugeredet,redete zu,red zu,redet zu,haben
belaufen,belaufe,beläufst,beläuft,belief,belaufen,beliefe,belauf,belauft,haben
besabbeln,besabbele,besabbelst,besabbelt,besabbelte,besabbelt,besabbelte,besabbel,besabbelt,haben
beschnacken,beschnacke,beschnackst,beschnackt,beschnackte,beschnackt,beschnackte,beschnack,beschnackt,haben
bekakeln,bekakele,bekakelst,bekakelt,bekakelte,bekakelt,bekakelte,bekakel,bekakelt,haben
kakeln,kakele,kakelst,kakelt,kakelte,gekakelt,kakelte,kakel,kakelt,haben
weichkochen,koche weich,kochst weich,kocht weich,kochte weich,weichgekocht,kochte weich,koch weich,kocht weich,haben
weichklopfen,klopfe weich,klopfst weich,klopft weich,klopfte weich,weichgeklopft,klopfte weich,klopf weich,klopft weich,haben
bequatschen,bequatsche,bequatschst,bequatscht,bequatschte,bequatscht,bequatschte,bequatsch,bequatscht,haben
beschwipsen,beschwipse,beschwipst,beschwipst,beschwipste,beschwipst,beschwipste,beschwips,beschwipst,haben
bezechen,bezeche,bezechst,bezecht,bezechte,bezecht,bezechte,bezech,bezecht,haben
beduseln,bedusele,beduselst,beduselt,beduselte,beduselt,beduselte,bedusel,beduselt,haben
bedudeln,bedudele,bedudelst,bedudelt,bedudelte,bedudelt,bedudelte,bedudel,bedudelt,haben
beschildern,beschildere,beschilderst,beschildert,beschilderte,beschildert,beschilderte,beschilder,beschildert,haben
niederstrecken,strecke nieder,streckst nieder,streckt nieder,streckte nieder,niedergestreckt,streckte nieder,streck nieder,streckt nieder,haben
beeumeln,beeumele,beeumelst,beeumelt,beeumelte,beeumelt,beeumelte,beeumel,beeumelt,haben
beölen,beöle,beölst,beölt,beölte,beölt,beölte,beöl,beölt,haben
schieflachen,lache schief,lachst schief,lacht schief,lachte schief,schiefgelacht,lachte schief,lach schief,lacht schief,haben
eumeln,eumele,eumelst,eumelt,eumelte,geeumelt,eumelte,eumel,eumelt,haben
totlachen,lache tot,lachst tot,lacht tot,lachte tot,totgelacht,lachte tot,lach tot,lacht tot,haben
bebrüten,bebrüte,bebrütest,bebrütet,bebrütete,bebrütet,bebrütete,bebrüt,bebrütet,haben
nachtragen,trage nach,trägst nach,trägt nach,trug nach,nachgetragen,trüge nach,trag nach,tragt nach,haben
begrabbeln,begrabbele,begrabbelst,begrabbelt,begrabbelte,begrabbelt,begrabbelte,begrabbel,begrabbelt,haben
betätscheln,betätschele,betätschelst,betätschelt,betätschelte,betätschelt,betätschelte,betätschel,betätschelt,haben
begucken,begucke,beguckst,beguckt,beguckte,beguckt,beguckte,beguck,beguckt,haben
bekucken,bekucke,bekuckst,bekuckt,bekuckte,bekuckt,bekuckte,bekuck,bekuckt,haben
behausen,behause,behaust,behaust,behauste,behaust,behauste,behaus,behaust,haben
befliegen,befliege,befliegst,befliegt,beflog,beflogen,beflöge,beflieg,befliegt,haben
befischen,befische,befischst,befischt,befischte,befischt,befischte,befisch,befischt,haben
befluten,beflute,beflutest,beflutet,beflutete,beflutet,beflutete,beflut,beflutet,haben
behämmern,behämmere,behämmerst,behämmert,behämmerte,behämmert,behämmerte,behämmer,behämmert,haben
behauen,behaue,behaust,behaut,behaute,behauen,behaute,behau,behaut,haben
behüten,behüte,behütest,behütet,behütete,behütet,behütete,behüt,behütet,haben
beschirmen,beschirme,beschirmst,beschirmt,beschirmte,beschirmt,beschirmte,beschirm,beschirmt,haben
beknien,beknie,bekniest,bekniet,bekniete,bekniet,bekniete,beknie,bekniet,haben
behufen,behufe,behufst,behuft,behufte,behuft,behufte,behuf,behuft,haben
beirren,beirre,beirrst,beirrt,beirrte,beirrt,beirrte,beirr,beirrt,haben
bejubeln,bejubele,bejubelst,bejubelt,bejubelte,bejubelt,bejubelte,bejubel,bejubelt,haben
bekotzen,bekotze,bekotzt,bekotzt,bekotzte,bekotzt,bekotzte,bekotz,bekotzt,haben
labilisieren,labilisiere,labilisierst,labilisiert,labilisierte,labilisiert,labilisierte,labilisier,labilisiert,haben
bekoten,bekote,bekotest,bekotet,bekotete,bekotet,bekotete,bekot,bekotet,haben
bekacken,bekacke,bekackst,bekackt,bekackte,bekackt,bekackte,bekack,bekackt,haben
beklieren,bekliere,beklierst,bekliert,beklierte,bekliert,beklierte,beklier,bekliert,haben
beklopfen,beklopfe,beklopfst,beklopft,beklopfte,beklopft,beklopfte,beklopf,beklopft,haben
bekosten,bekoste,bekostest,bekostet,bekostete,bekostet,bekostete,bekost,bekostet,haben
bekritzeln,bekritzele,bekritzelst,bekritzelt,bekritzelte,bekritzelt,bekritzelte,bekritzel,bekritzelt,haben
bekritteln,bekrittele,bekrittelst,bekrittelt,bekrittelte,bekrittelt,bekrittelte,bekrittel,bekrittelt,haben
bemäkeln,bemäkele,bemäkelst,bemäkelt,bemäkelte,bemäkelt,bemäkelte,bemäkel,bemäkelt,haben
bemakeln,bemakele,bemakelst,bemakelt,bemakelte,bemakelt,bemakelte,bemakel,bemakelt,haben
belehren,belehre,belehrst,belehrt,belehrte,belehrt,belehrte,belehr,belehrt,haben
beleihen,beleihe,beleihst,beleiht,belieh,beliehen,belieh,beleih,beleiht,haben
dreiteilen,dreiteile,dreiteilst,dreiteilt,dreiteilte,dreigeteilt,dreiteilte,dreiteil,dreiteilt,haben
pinnen,pinne,pinnst,pinnt,pinnte,gepinnt,pinnte,pinn,pinnt,haben
belichten,belichte,belichtest,belichtet,belichtete,belichtet,belichtete,belicht,belichtet,haben
bemeistern,bemeistere,bemeisterst,bemeistert,bemeisterte,bemeistert,bemeisterte,bemeister,bemeistert,haben
bemopsen,bemopse,bemopst,bemopst,bemopste,bemopst,bemopste,bemops,bemopst,haben
bemogeln,bemogele,bemogelst,bemogelt,bemogelte,bemogelt,bemogelte,bemogel,bemogelt,haben
beschummeln,beschummele,beschummelst,beschummelt,beschummelte,beschummelt,beschummelte,beschummel,beschummelt,haben
beschupsen,beschupse,beschupst,beschupst,beschupste,beschupst,beschupste,beschups,beschupst,haben
schupsen,schupse,schupst,schupst,schupste,geschupst,schupste,schups,schupst,haben
bepacken,bepacke,bepackst,bepackt,bepackte,bepackt,bepackte,bepack,bepackt,haben
bepinseln,bepinsele,bepinselst,bepinselt,bepinselte,bepinselt,bepinselte,bepinsel,bepinselt,haben
herumtreiben,treibe herum,treibst herum,treibt herum,trieb herum,herumgetrieben,triebe herum,treib herum,treibt herum,haben
instigieren,instigiere,instigierst,instigiert,instigierte,instigiert,instigierte,instigier,instigiert,haben
instillieren,instilliere,instillierst,instilliert,instillierte,instilliert,instillierte,instillier,instilliert,haben
zerkochen,zerkoche,zerkochst,zerkocht,zerkochte,zerkocht,zerkochte,zerkoch,zerkocht,haben
umsäbeln,säbel um,säbelst um,säbelt um,säbelte um,umgesäbelt,säbelte um,säbel um,säbelt um,haben
schmollieren,schmolliere,schmollierst,schmolliert,schmollierte,schmolliert,schmollierte,schmollier,schmolliert,haben
benähen,benähe,benähst,benäht,benähte,benäht,benähte,benäh,benäht,haben
benageln,benagele,benagelst,benagelt,benagelte,benagelt,benagelte,benagel,benagelt,haben
beniesen,beniese,beniest,beniest,benieste,beniest,benieste,benies,beniest,haben
bepinkeln,bepinkele,bepinkelst,bepinkelt,bepinkelte,bepinkelt,bepinkelte,bepinkel,bepinkelt,haben
beplauschen,beplausche,beplauschst,beplauscht,beplauschte,beplauscht,beplauschte,beplausch,beplauscht,haben
bequasseln,bequassele,bequasselst,bequasselt,bequasselte,bequasselt,bequasselte,bequassel,bequasselt,haben
bepudern,bepudere,bepuderst,bepudert,bepuderte,bepudert,bepuderte,bepuder,bepudert,haben
beschwätzen,beschwätze,beschwätzt,beschwätzt,beschwätzte,beschwätzt,beschwätzte,beschwätz,beschwätzt,haben
beschwingen,beschwinge,beschwingst,beschwingt,beschwingte,beschwingt,beschwingte,beschwing,beschwingt,haben
besegeln,besegele,besegelst,besegelt,besegelte,besegelt,besegelte,besegel,besegelt,haben
besprayen,bespraye,besprayst,besprayt,besprayte,besprayt,besprayte,bespray,besprayt,haben
bespringen,bespringe,bespringst,bespringt,besprang,besprungen,bespränge,bespring,bespringt,haben
beschnuppern,beschnuppere,beschnupperst,beschnuppert,beschnupperte,beschnuppert,beschnupperte,beschnupper,beschnuppert,haben
beangeln,beangele,beangelst,beangelt,beangelte,beangelt,beangelte,beangel,beangelt,haben
bekriechen,bekrieche,bekriechst,bekriecht,bekroch,bekrochen,bekröche,bekriech,bekriecht,haben
bekrabbeln,bekrabbele,bekrabbelst,bekrabbelt,bekrabbelte,bekrabbelt,bekrabbelte,bekrabbel,bekrabbelt,haben
beködern,beködere,beköderst,beködert,beköderte,beködert,beköderte,beköder,beködert,haben
bekringeln,bekringele,bekringelst,bekringelt,bekringelte,bekringelt,bekringelte,bekringel,bekringelt,haben
behauchen,behauche,behauchst,behaucht,behauchte,behaucht,behauchte,behauch,behaucht,haben
bespeien,bespeie,bespeist,bespeit,bespie,bespien,bespie,bespei,bespeit,haben
beschmeißen,beschmeiße,beschmeißt,beschmeißt,beschmiss,beschmissen,beschmisse,beschmeiß,beschmeißt,haben
beschmunzeln,beschmunzele,beschmunzelst,beschmunzelt,beschmunzelte,beschmunzelt,beschmunzelte,beschmunzel,beschmunzelt,haben
beschnüffeln,beschnüffele,beschnüffelst,beschnüffelt,beschnüffelte,beschnüffelt,beschnüffelte,beschnüffel,beschnüffelt,haben
hineingeheimnissen,geheimnisse hinein,geheimnisst hinein,geheimnisst hinein,geheimnisste hinein,hineingeheimnisst,geheimnisste hinein,geheimniss hinein,geheimnisst hinein,haben
behexen,behexe,behext,behext,behexte,behext,behexte,behex,behext,haben
beschuhen,beschuhe,beschuhst,beschuht,beschuhte,beschuht,beschuhte,beschuh,beschuht,haben
beschmuhen,beschmuhe,beschmuhst,beschmuht,beschmuhte,beschmuht,beschmuhte,beschmuh,beschmuht,haben
bekleistern,bekleistere,bekleisterst,bekleistert,bekleisterte,bekleistert,bekleisterte,bekleister,bekleistert,haben
besäen,besäe,besäst,besät,besäte,besät,besäte,besä,besät,haben
beschütten,beschütte,beschüttest,beschüttet,beschüttete,beschüttet,beschüttete,beschütt,beschüttet,haben
